Hduj_gnl_WGS_MTYJ_mrna.BV898_00241.1	Hduj_1_241
Hduj_gnl_WGS_MTYJ_mrna.BV898_00242.1	Hduj_1_242
Hduj_gnl_WGS_MTYJ_mrna.BV898_00243.1	Hduj_1_243
Hduj_gnl_WGS_MTYJ_mrna.BV898_00244.1	Hduj_1_244
Hduj_gnl_WGS_MTYJ_mrna.BV898_00245.1	Hduj_1_245
Hduj_gnl_WGS_MTYJ_mrna.BV898_00246.1	Hduj_1_246
Hduj_gnl_WGS_MTYJ_mrna.BV898_00247.1	Hduj_1_247
Hduj_gnl_WGS_MTYJ_mrna.BV898_00248.1	Hduj_1_248
Hduj_gnl_WGS_MTYJ_mrna.BV898_00249.1	Hduj_1_249
Hduj_gnl_WGS_MTYJ_mrna.BV898_00250.1	Hduj_1_250
Hduj_gnl_WGS_MTYJ_mrna.BV898_00251.2	Hduj_1_251
Hduj_gnl_WGS_MTYJ_mrna.BV898_00252.1	Hduj_1_252
Hduj_gnl_WGS_MTYJ_mrna.BV898_00253.1	Hduj_1_253
Hduj_gnl_WGS_MTYJ_mrna.BV898_00254.1	Hduj_1_254
Hduj_gnl_WGS_MTYJ_mrna.BV898_00256.1	Hduj_1_255
Hduj_gnl_WGS_MTYJ_mrna.BV898_00257.1	Hduj_1_256
Hduj_gnl_WGS_MTYJ_mrna.BV898_00258.1	Hduj_1_257
Hduj_gnl_WGS_MTYJ_mrna.BV898_00259.1	Hduj_1_258
Hduj_gnl_WGS_MTYJ_mrna.BV898_00260.1	Hduj_1_259
Hduj_gnl_WGS_MTYJ_mrna.BV898_00261.1	Hduj_1_260
Hduj_gnl_WGS_MTYJ_mrna.BV898_00262.1	Hduj_1_261
Hduj_gnl_WGS_MTYJ_mrna.BV898_00263.1	Hduj_1_262
Hduj_gnl_WGS_MTYJ_mrna.BV898_00264.1	Hduj_1_263
Hduj_gnl_WGS_MTYJ_mrna.BV898_00265.1	Hduj_1_264
Hduj_gnl_WGS_MTYJ_mrna.BV898_00266.1	Hduj_1_265
Hduj_gnl_WGS_MTYJ_mrna.BV898_00267.1	Hduj_1_266
Hduj_gnl_WGS_MTYJ_mrna.BV898_00268.1	Hduj_1_267
Hduj_gnl_WGS_MTYJ_mrna.BV898_00269.1	Hduj_1_268
Hduj_gnl_WGS_MTYJ_mrna.BV898_00270.1	Hduj_1_269
Hduj_gnl_WGS_MTYJ_mrna.BV898_00271.1	Hduj_1_270
Hduj_gnl_WGS_MTYJ_mrna.BV898_00272.1	Hduj_1_271
Hduj_gnl_WGS_MTYJ_mrna.BV898_00273.1	Hduj_1_272
Hduj_gnl_WGS_MTYJ_mrna.BV898_00274.1	Hduj_1_273
Hduj_gnl_WGS_MTYJ_mrna.BV898_00275.1	Hduj_1_274
Hduj_gnl_WGS_MTYJ_mrna.BV898_00276.1	Hduj_1_275
Hduj_gnl_WGS_MTYJ_mrna.BV898_00277.1	Hduj_1_276
Hduj_gnl_WGS_MTYJ_mrna.BV898_00278.1	Hduj_1_277
Hduj_gnl_WGS_MTYJ_mrna.BV898_00279.1	Hduj_1_278
Hduj_gnl_WGS_MTYJ_mrna.BV898_00280.1	Hduj_1_279
Hduj_gnl_WGS_MTYJ_mrna.BV898_00281.1	Hduj_1_280
Hduj_gnl_WGS_MTYJ_mrna.BV898_00282.1	Hduj_1_281
Hduj_gnl_WGS_MTYJ_mrna.BV898_00283.1	Hduj_1_282
