Tetwil_g4877.t1	Tetwil_6_28
Tetwil_g4878.t1	Tetwil_6_29
Tetwil_g4879.t1	Tetwil_6_30
Tetwil_g4880.t1	Tetwil_6_31
Tetwil_g4881.t1	Tetwil_6_32
Tetwil_g4882.t2	Tetwil_6_33
Tetwil_g4883.t1	Tetwil_6_34
Tetwil_g4884.t1	Tetwil_6_35
Tetwil_g4885.t2	Tetwil_6_36
Tetwil_g4886.t1	Tetwil_6_37
Tetwil_g4887.t2	Tetwil_6_38
Tetwil_g4888.t1	Tetwil_6_39
Tetwil_g4889.t1	Tetwil_6_40
Tetwil_g4890.t1	Tetwil_6_41
Tetwil_g4891.t2	Tetwil_6_42
Tetwil_g4892.t1	Tetwil_6_43
Tetwil_g4893.t1	Tetwil_6_44
Tetwil_g4894.t1	Tetwil_6_45
Tetwil_g4895.t1	Tetwil_6_46
Tetwil_g4896.t1	Tetwil_6_47
Tetwil_g4897.t1	Tetwil_6_48
Tetwil_g4898.t1	Tetwil_6_49
Tetwil_g4899.t1	Tetwil_6_50
Tetwil_g4900.t1	Tetwil_6_51
Tetwil_g4901.t1	Tetwil_6_52
Tetwil_g4902.t1	Tetwil_6_53
Tetwil_g4903.t1	Tetwil_6_54
Tetwil_g4904.t1	Tetwil_6_55
Tetwil_g4905.t1	Tetwil_6_56
Tetwil_g4906.t1	Tetwil_6_57
Tetwil_g4907.t1	Tetwil_6_58
Tetwil_g4908.t2	Tetwil_6_59
Tetwil_g4909.t2	Tetwil_6_60
Tetwil_g4910.t2	Tetwil_6_61
Tetwil_g4911.t1	Tetwil_6_62
Tetwil_g4912.t1	Tetwil_6_63
Tetwil_g4913.t1	Tetwil_6_64
Tetwil_g4914.t1	Tetwil_6_65
Tetwil_g4915.t1	Tetwil_6_66
Tetwil_g4916.t1	Tetwil_6_67
Tetwil_g4917.t1	Tetwil_6_68
Tetwil_g4918.t1	Tetwil_6_69
Tetwil_g4919.t2	Tetwil_6_70
Tetwil_g4920.t2	Tetwil_6_71
Tetwil_g24668.t1	Tetwil_7_1
Tetwil_g24669.t1	Tetwil_7_2
Tetwil_g24670.t1	Tetwil_7_3
Tetwil_g24671.t1	Tetwil_7_4
Tetwil_g24672.t1	Tetwil_7_5
Tetwil_g24673.t1	Tetwil_7_6
Tetwil_g24674.t1	Tetwil_7_7
Tetwil_g24675.t1	Tetwil_7_8
Tetwil_g24676.t1	Tetwil_7_9
Tetwil_g24677.t1	Tetwil_7_10
Tetwil_g24678.t1	Tetwil_7_11
Tetwil_g24679.t1	Tetwil_7_12
Tetwil_g24680.t1	Tetwil_7_13
Tetwil_g24681.t1	Tetwil_7_14
Tetwil_g24682.t1	Tetwil_7_15
Tetwil_g24683.t1	Tetwil_7_16
Tetwil_g24684.t1	Tetwil_7_17
Tetwil_g24685.t1	Tetwil_7_18
Tetwil_g24686.t1	Tetwil_7_19
Tetwil_g24687.t1	Tetwil_7_20
Tetwil_g24688.t1	Tetwil_7_21
Tetwil_g24689.t2	Tetwil_7_22
Tetwil_g24690.t1	Tetwil_7_23
Tetwil_g24691.t1	Tetwil_7_24
Tetwil_g24692.t2	Tetwil_7_25
Tetwil_g24693.t1	Tetwil_7_26
Tetwil_g24694.t1	Tetwil_7_27
Tetwil_g24695.t1	Tetwil_7_28
Tetwil_g24696.t1	Tetwil_7_29
Tetwil_g24697.t1	Tetwil_7_30
Tetwil_g24698.t2	Tetwil_7_31
Tetwil_g24699.t2	Tetwil_7_32
Tetwil_g24700.t1	Tetwil_7_33
Tetwil_g24701.t1	Tetwil_7_34
Tetwil_g24702.t2	Tetwil_7_35
Tetwil_g24703.t2	Tetwil_7_36
Tetwil_g24704.t1	Tetwil_7_37
Tetwil_g24705.t1	Tetwil_7_38
Tetwil_g24706.t1	Tetwil_7_39
