Atha_AT3G24340.1	SNF2_N Helicase_C
Atha_AT3G42670.4	SNF2_N Helicase_C
Atha_AT3G54280.2	DUF3535 SNF2_N Helicase_C
Atha_AT3G54460.1	F-box SNF2_N zf-CW Helicase_C
Atha_AT3G57300.2	DBINO SNF2_N Helicase_C
Atha_AT4G31900.1	Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Atha_AT5G05130.1	HIRAN SNF2_N zf-C3HC4_3 Helicase_C
Atha_AT5G07810.1	SNF2_N Helicase_C HNH
Atha_AT5G18620.2	SNF2_N Helicase_C HAND SLIDE
Atha_AT5G19310.1	SNF2_N Helicase_C SnAC
Atha_AT5G20420.1	SNF2_N Helicase_C
Atha_AT5G22750.1	HIRAN SNF2_N zf-C3HC4_3 Helicase_C
Atha_AT5G43530.1	HIRAN SNF2_N zf-C3HC4 Helicase_C
Atha_AT5G44800.1	PHD Chromo SNF2_N Helicase_C DUF1087
Atha_AT5G63950.1	SNF2_N Helicase_C
Atha_AT5G66750.1	SNF2_N Helicase_C
Atri_ERM93773	PHD Chromo Chromo SNF2_N Helicase_C DUF1087
Atri_ERM94923	HIRAN SNF2_N zf-C3HC4_3 Helicase_C
Atri_ERM94966	QLQ SNF2_N Helicase_C Bromodomain
Atri_ERM95535	SNF2_N Helicase_C
Atri_ERM97150	SNF2_N Helicase_C
Atri_ERM99113	HIRAN SNF2_N
Atri_ERM99888	SNF2_N Helicase_C HNH
Atri_ERN00149	SNF2_N Helicase_C
Atri_ERN01067	DUF3535 SNF2_N Helicase_C
Atri_ERN01247	SNF2_N Helicase_C
Atri_ERN01682	SNF2_N Helicase_C SnAC
Atri_ERN02039	SNF2_N Helicase_C
Atri_ERN02674	HSA SNF2_N Helicase_C
Atri_ERN02848	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Atri_ERN03405	SNF2_N zf-C3HC4 Helicase_C
Atri_ERN04198	SNF2_N
Atri_ERN05058	Chromo SNF2_N Helicase_C DUF4208
Atri_ERN05142	DBINO SNF2_N Helicase_C
Atri_ERN06055	SNF2_N
Atri_ERN06059	SNF2_N Helicase_C
Atri_ERN07907	SNF2_N SNF2_N Helicase_C
Atri_ERN08403	SNF2_N
Atri_ERN09370	SNF2_N zf-C3HC4 Helicase_C
Atri_ERN12113	SNF2_N Helicase_C
Atri_ERN12675	SNF2_N Helicase_C SnAC
Atri_ERN13224	HIRAN SNF2_N zf-C3HC4 Helicase_C
Atri_ERN15007	SNF2_N Helicase_C
Atri_ERN15878	SNF2_N Helicase_C
Atri_ERN16230	SNF2_N zf-CW
Atri_ERN16917	SNF2_N Helicase_C HAND SLIDE
Atri_ERN17041	SNF2_N Helicase_C
Atri_ERN17441	SNF2_N
Atri_ERN17443	SNF2_N SNF2_N zf-C3HC4 Helicase_C
Atri_ERN17496	SNF2_N Helicase_C
Atri_ERN18793	SNF2_N Helicase_C
Atri_ERN19886	PHD Chromo Chromo SNF2_N Helicase_C
Auraur_scaffold1017.g1.t1	SNF2_N
Auraur_scaffold1017.g1.t2	SNF2_N zf-C3HC4_3 Helicase_C
Auraur_scaffold1017.g2.t1	SNF2_N
Auraur_scaffold104.g1.t1	SNF2_N
Auraur_scaffold104.g1.t2	SNF2_N Helicase_C
Auraur_scaffold104.g4.t1	SNF2_N
